X Y  Z
-5.00000000000000E+0000 -1.09331303274650E+0000  1.24746296929489E+0000
-5.00000000000000E+0000 -2.66960247469917E+0000  1.28889738666303E+0000
-5.00000000000000E+0000 -4.32470638874947E+0000  1.34249163046116E+0000
-5.00000000000000E+0000 -6.06256549850229E+0000  1.40711107847436E+0000
-5.00000000000000E+0000 -7.88731756374275E+0000  1.47864394131488E+0000
-5.00000000000000E+0000 -9.80330723224523E+0000  1.55330079519058E+0000
-5.00000000000000E+0000 -1.18150963841728E+0001  1.62902248539173E+0000
-5.00000000000000E+0000 -1.39274749936968E+0001  1.70405700942793E+0000
-5.00000000000000E+0000 -1.61454725336970E+0001  1.77410226245097E+0000
-5.00000000000000E+0000 -1.84743699506972E+0001  1.83046103223647E+0000
-5.00000000000000E+0000 -2.09197122385474E+0001  1.86232347488953E+0000
-2.50000000000000E+0000  1.20000000000000E+0001  7.63486191132806E-0001
-2.50000000000000E+0000  1.10783762096846E+0001  8.62175930846415E-0001
-2.50000000000000E+0000  1.01106712298535E+0001  9.84251670949347E-0001
-2.50000000000000E+0000  9.09458100103088E+0000  1.06329559648456E+0000
-2.50000000000000E+0000  8.02768626076708E+0000  1.09366802566729E+0000
-2.50000000000000E+0000  6.90744678349009E+0000  1.10302050339925E+0000
-2.50000000000000E+0000  5.73119533234925E+0000  1.11305492205086E+0000
-2.50000000000000E+0000  4.49613130865137E+0000  1.13091663860965E+0000
-2.50000000000000E+0000  3.19931408376860E+0000  1.15516046732115E+0000
-2.50000000000000E+0000  1.83765599764168E+0000  1.18218316567351E+0000
-2.50000000000000E+0000  4.07915007208423E-0001  1.21085024527521E+0000
-2.50000000000000E+0000 -1.09331303274650E+0000  1.24384428622368E+0000
-2.50000000000000E+0000 -2.66960247469917E+0000  1.28583342848530E+0000
-2.50000000000000E+0000 -4.32470638874947E+0000  1.33987160051585E+0000
-2.50000000000000E+0000 -6.06256549850229E+0000  1.40483708295668E+0000
-2.50000000000000E+0000 -7.88731756374275E+0000  1.47663846092388E+0000
-2.50000000000000E+0000 -9.80330723224523E+0000  1.55150202900490E+0000
-2.50000000000000E+0000 -1.18150963841728E+0001  1.62737742039601E+0000
-2.50000000000000E+0000 -1.39274749936968E+0001  1.70251770558239E+0000
-2.50000000000000E+0000 -1.61454725336970E+0001  1.77262653736856E+0000
-2.50000000000000E+0000 -1.84743699506972E+0001  1.82901622838691E+0000
-2.50000000000000E+0000 -2.09197122385474E+0001  1.86088943842753E+0000
 0.00000000000000E+0000  1.20000000000000E+0001  7.55415616581617E-0001
 0.00000000000000E+0000  1.10783762096846E+0001  8.54252854923110E-0001
 0.00000000000000E+0000  1.01106712298535E+0001  9.75867792811813E-0001
 0.00000000000000E+0000  9.09458100103088E+0000  1.05401098406133E+0000
 0.00000000000000E+0000  8.02768626076708E+0000  1.08404440112915E+0000
 0.00000000000000E+0000  6.90744678349009E+0000  1.09388428691099E+0000
 0.00000000000000E+0000  5.73119533234925E+0000  1.10475151385326E+0000
 0.00000000000000E+0000  4.49613130865137E+0000  1.12337339089549E+0000
 0.00000000000000E+0000  3.19931408376860E+0000  1.14831078763665E+0000
 0.00000000000000E+0000  1.83765599764168E+0000  1.17608212178810E+0000
 0.00000000000000E+0000  4.07915007208423E-0001  1.20556211450781E+0000
 0.00000000000000E+0000 -1.09331303274650E+0000  1.23934823142745E+0000
